title,credit_id,department,gender,id,job,name,id1,first_name,imdb,gender_prob,gender_guess
Star Trek Beyond,5767bfa9c3a3680ef00004a8,Camera,0,1404739,Helicopter Camera,Steve Koster,NA,NA,NA,NA,NA
Star Trek Beyond,5767c349c3a368433500005b,Editing,0,1407685,First Assistant Editor,Meghan L. Noble,NA,NA,NA,NA,NA
Star Trek Beyond,5767c505c3a368102a0005f3,Visual Effects,0,1408381,Visual Effects Producer,Andy Taylor,NA,NA,NA,NA,NA
Star Trek Beyond,594690cec3a36816c502a579,Visual Effects,2,1410580,Pre-Visualization Supervisor,Alexander Vegh,NA,NA,NA,NA,NA
Star Trek Beyond,5767c269c3a36842f7000060,Sound,0,1413453,Sound Designer,Stephen P. Robinson,NA,NA,NA,NA,NA
Star Trek Beyond,5767c0c1c3a36842f7000001,Lighting,0,1418404,Rigging Gaffer,Jarrod Tiffin,NA,NA,NA,NA,NA
Star Trek Beyond,5767c55cc3a36842bd0000cf,Visual Effects,0,1420157,Visual Effects Supervisor,Ryan Tudhope,NA,NA,NA,NA,NA
Star Trek Beyond,5767c23f9251412e58000558,Sound,0,1426828,Foley,John Sanacore,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb97925141655a002101,Production,0,1429626,Casting,Miranda Davidson,NA,NA,NA,NA,NA
Star Trek Beyond,5767c19dc3a3680fbd000532,Costume &amp; Make-Up,0,1431099,Set Costumer,Pamela Cameron,NA,NA,NA,NA,NA
Star Trek Beyond,5767c156c3a36842f700001a,Costume &amp; Make-Up,0,1439109,Costume Supervisor,Nava R. Sadan,NA,NA,NA,NA,NA
Star Trek Beyond,5767c5379251412e580005cc,Visual Effects,0,1439740,Visual Effects Supervisor,Sean Stranks,NA,NA,NA,NA,NA
Star Trek Beyond,5767bdedc3a368102a0004b1,Art,0,1447571,Assistant Art Director,Travis Witkowski,NA,NA,NA,NA,NA
Star Trek Beyond,5767c56f92514156630000a9,Visual Effects,0,1459914,Visual Effects Supervisor,Stefano Trivelli,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd699251412ea90004ab,Art,0,1481282,Art Department Coordinator,Andrea Carter,NA,NA,NA,NA,NA
Star Trek Beyond,5767bddc9251412e58000484,Art,0,1519426,Assistant Art Director,Sean Goojha,NA,NA,NA,NA,NA
